1525,1641,346,329,1468,539,214,1486,731,819,1853,1440,1514,712,1692
1223,629,85,1788,1580,1498,300,1618,1603,45,1926,311,1291,820,1231
1599,27,26,732,1932,867,1324,167,1523,1875,1473,438,1860,874,116
867,1598,1103,1916,1005,1448,1612,343,77,963,534,613,1958,1473,1001
1777,278,1679,1165,1762,340,415,766,1669,1967,970,1615,976,801,903
507,441,1473,1875,1782,658,715,874,1740,657,1425,26,981,732,277
834,1625,1123,1157,1563,876,522,8,1265,381,901,1353,836,1510,1166
1265,834,1123,381,1608,748,876,901,178,253,643,1588,709,445,1794
968,653,1343,868,1039,88,1120,268,873,1520,37,536,1702,1979,1878
249,1393,1900,1007,742,178,1123,480,1506,1134,1828,1349,1265,1783,1674
1556,1067,1068,1022,1502,1283,56,1918,1280,779,465,1273,1138,1418,459
1859,1078,1776,1115,1748,402,1444,1935,1536,1653,1527,924,462,220,547
270,1801,735,21,184,440,195,1012,921,1200,1276,1986,599,1548,1613
1503,912,1909,1229,1009,73,1255,1678,1709,1027,1199,151,387,306,713
27,1599,1149,1199,732,981,257,1103,252,711,70,1425,248,1441,26
1803,312,1881,163,1771,1013,815,536,1603,1535,101,45,1402,714,570
695,343,1364,134,490,454,391,1008,26,366,1242,708,1197,1645,963
1003,794,637,1820,950,1572,1088,1746,1461,231,344,1653,377,208,323
513,1882,219,1878,699,1632,1354,1533,1366,725,163,518,1066,1644,846
481,1976,1127,349,644,1239,1198,1600,1002,1015,1784,133,1224,1151,1907
1608,1265,1123,784,842,1399,1692,1588,669,1353,1248,742,164,1349,1327
861,1568,1069,585,624,681,788,1867,546,1980,982,1457,1268,1873,1067
1093,1963,918,1381,208,1399,740,177,1496,769,1930,1089,1248,764,1024
573,1447,872,1978,1237,1942,140,1750,1211,116,1199,241,1004,1925,1425
1769,757,68,88,230,17,786,1357,1520,1420,1170,190,1133,1939,64
303,404,1027,1792,1981,1197,1049,335,1709,1763,1126,1542,981,1897,239
432,899,944,1075,1406,1618,1483,1291,1987,1395,1048,1368,1543,287,448
1798,996,708,534,86,1242,676,205,151,1814,1633,1758,1645,0,1929
1528,880,118,1831,56,690,801,1418,298,970,491,233,716,1186,1374
1001,138,551,135,676,1597,534,1241,159,1173,174,912,949,1742,1539
1733,1751,1935,402,1467,623,1136,1115,1653,878,1444,692,370,333,1748
320,1334,295,1742,134,1499,277,796,425,511,534,1898,181,15,205
485,723,1318,9,1901,255,179,772,1822,1669,1191,1944,1586,1006,997
1339,1342,1319,91,1277,1619,674,1304,721,476,157,1549,1890,1292,1804
898,930,1408,1248,1381,25,531,1306,379,1635,1234,731,1327,1893,1841
1355,1865,820,899,102,1971,1543,755,944,258,728,99,23,1231,1988
1725,523,1855,340,62,1829,1116,976,1665,1546,1681,1651,415,1777,1219
468,996,578,1929,26,777,257,796,534,205,1682,167,665,949,383
551,949,1481,468,534,1018,1173,796,1271,574,1415,1539,205,59,167
669,871,1323,1588,1399,784,148,157,1352,1890,1608,1218,1642,365,1265
831,310,783,254,345,1193,219,408,1305,477,562,944,1383,1329,1817
1822,1436,603,1607,195,599,89,485,1944,179,735,832,772,1214,1671
1660,791,1096,1879,1651,1080,1378,1552,1219,1681,62,1184,523,1725,525
976,800,106,1725,340,1777,1122,415,1303,1104,1829,62,160,1584,1116
1172,1512,107,780,1212,1674,1449,1140,178,1201,346,950,1820,1270,157
1941,589,1752,1209,1647,1101,430,635,947,449,840,1610,1245,1972,165
1165,1200,189,1276,195,1967,735,1669,212,1396,450,1012,184,440,962
363,1337,564,280,873,743,739,66,55,968,1015,349,158,1979,1760
1340,409,1994,699,1354,1402,1204,580,1013,1533,1771,312,1620,1537,219
1124,1928,503,684,1999,1793,1735,62,1651,1462,1107,1673,1122,1906,1191
1068,549,1260,779,1067,1502,368,105,1936,274,1883,375,931,994,1715
605,1561,1178,773,252,1504,593,579,1680,418,1083,1981,1174,1388,745
1648,420,1539,1036,973,1952,174,1001,1617,131,135,1633,1008,1390,1688
1559,8,951,1265,137,1033,1182,200,58,1007,1839,1123,1534,722,444
1623,1629,320,1499,366,1334,391,847,1326,1211,1412,1925,1199,701,295
1108,1782,996,906,1778,441,458,1473,1875,1633,507,131,1952,19,708
1035,994,1275,931,997,956,1181,524,953,195,233,1944,577,1628,207
1347,1458,1032,746,1689,527,891,151,452,980,1929,796,248,410,1630
1763,303,1324,1126,793,1293,1978,1027,1877,1197,239,573,940,1211,335
1359,1923,998,313,431,108,1933,1535,536,1603,1961,44,785,1706,74
311,1370,1580,45,101,763,594,464,1624,946,1048,74,1803,955,983
824,1895,1417,1145,1382,1198,1132,85,1800,1365,1144,1698,133,1239,1739
709,1693,1416,1828,388,780,442,748,1332,1934,1863,178,141,643,13
1172,1512,1212,346,107,894,424,1435,950,1768,1140,1270,539,1339,377
381,547,632,922,53,402,220,740,1157,1433,253,1743,379,161,638
367,693,1329,1891,412,1697,1913,1914,1483,575,64,1971,589,304,1887
1845,844,368,954,1162,620,1117,1460,1283,1795,1129,942,1652,1147,31
855,582,16,711,646,496,978,569,364,916,1065,186,1981,303,657
157,285,1468,329,1731,969,539,220,1635,1525,333,1234,1935,1853,1641
165,840,1243,1600,1610,1976,883,1127,1148,1752,1308,808,203,1564,1151
532,1448,93,981,1599,1149,732,252,1598,1451,1475,613,468,1345,875
1218,918,1352,1043,1100,402,157,1619,712,1339,769,146,601,892,1323
627,1475,260,1009,70,605,394,1083,1005,93,1437,418,73,252,713
894,1349,1772,1970,842,1093,1608,1140,1339,1919,742,764,1201,51,1399
187,1842,875,1237,980,1836,964,702,573,387,176,1425,1018,1630,790
128,1000,1262,1081,1995,1356,1548,1825,1721,359,1385,1634,294,841,1696
714,300,885,1346,1428,1231,1732,265,210,1788,1370,815,275,1406,1603
1200,337,155,1787,223,369,615,962,1348,440,1586,550,1690,572,1276
374,1907,868,968,653,873,1577,1206,1745,799,349,1717,1972,904,1847
1329,1193,1305,1817,673,594,1812,310,1366,1914,820,345,705,64,477
1927,297,281,1037,67,1405,1169,849,641,1605,1664,628,829,780,261
831,319,430,1771,449,584,1785,1340,1101,1243,589,1564,477,1884,165
722,1534,342,1183,253,748,238,547,1687,643,922,1136,771,1467,188
1268,664,1094,501,1226,1829,1208,455,1213,1295,1967,1453,1541,1452,1912
1390,1617,288,1958,277,15,295,811,1989,1699,973,391,325,1638,425
1449,608,516,1238,1431,894,1666,905,722,1277,148,687,1824,1534,1265
1054,492,7,1708,28,1456,448,290,136,1656,432,467,1915,1917,1957
855,303,756,1981,593,496,579,16,1792,680,605,1324,217,1680,916
1529,1088,177,1277,463,436,645,878,721,1319,1444,1619,416,1890,1304
1772,890,231,377,641,1003,208,919,765,1404,1905,710,67,1311,637
1421,59,1011,586,1682,527,1271,790,498,1451,676,875,1842,484,1836
903,22,845,1194,970,1984,505,1802,106,52,690,615,1659,274,1787
1768,571,473,1730,1016,519,51,892,1212,884,211,920,478,1033,1943
706,884,892,1043,1435,42,1249,1222,103,1323,1794,1619,291,918,161
156,150,49,1085,1912,1937,956,577,273,671,399,1333,356,524,843
171,1309,1046,199,163,1041,1070,409,405,65,688,1042,1871,1892,1620
1581,1602,1484,966,1786,880,766,856,828,1548,1721,255,1191,716,294
1721,1786,1548,1581,1713,1188,270,992,294,1356,957,204,921,1546,1639
814,625,116,749,984,1211,1763,1622,246,1156,1233,1423,1425,97,248
363,1337,564,1015,886,66,1979,1519,1920,1872,1847,331,1760,824,743
1211,1499,1203,1102,454,889,1503,695,1027,1645,1763,86,1126,792,391
1852,376,912,1633,0,1192,1678,131,1542,1380,1049,1503,1758,306,151
610,1421,59,1852,1429,159,1322,790,676,724,1240,435,1011,120,806
1275,22,195,994,1076,1949,970,953,1181,1186,1759,997,1659,956,233
1836,187,176,980,1842,964,387,443,790,875,1861,512,1814,1630,1192
1562,1503,1180,1852,1649,1902,1789,151,1672,425,729,435,1921,1622,1758
1141,1024,177,1605,1444,218,849,1536,1506,740,299,402,1529,1527,1841
1012,184,1526,79,491,921,359,109,668,609,1082,664,1548,803,651
1103,1576,1293,1227,1102,963,1199,889,1916,1504,438,1064,1174,1973,170
277,756,441,186,662,26,391,27,425,812,16,818,490,134,916
210,1732,1245,877,265,1454,1392,1600,1838,1752,1810,203,1987,1610,324
949,387,1975,1766,1235,1233,1018,1898,792,1578,1481,1237,167,1423,116
293,1604,1936,380,1940,1344,841,942,1295,113,1696,655,596,1273,1819
796,452,981,248,949,167,387,1578,1199,1682,1255,257,1149,732,1909
52,791,341,75,1125,1661,1584,1389,1116,1371,1284,609,359,668,903
1215,630,17,1920,1601,783,1832,1048,403,634,1979,656,1646,1407,230
1615,1139,1397,991,953,1777,106,694,976,397,800,276,1944,558,351
595,161,377,357,1218,71,884,892,1045,82,920,402,712,1112,463
1878,699,1577,868,481,1632,219,705,1354,163,591,1882,1907,1803,518
1030,1153,1912,535,1253,1228,356,497,274,1759,1333,664,737,368,1851
1762,935,766,1906,1097,1528,1336,1047,1602,340,1831,278,56,1187,651
1960,1390,1196,548,700,453,69,792,940,1606,1159,811,582,909,1480
610,229,498,979,59,1240,1196,806,512,727,453,1606,443,1909,1852
1891,1779,1483,1811,1329,412,1739,322,589,367,1099,693,1198,1988,1406
756,855,303,490,1576,1763,1469,1778,1324,391,239,1126,1680,16,680
1568,788,121,396,681,546,305,1457,624,686,1681,1665,661,243,861
1616,309,1074,1436,1607,603,1922,1432,1671,1142,599,1901,908,1090,1996
1553,38,1684,525,954,1660,1283,1096,788,243,1069,844,1147,942,649
214,611,346,1853,892,473,1943,781,424,687,884,539,1323,146,945
